building_name	bldg_id	no_of_cluster_spec_rms_reported	geo_dist	org_id	prek_cap	incl_class	no_of_cluster_rms_needed	organization_name	enroll	target_capacity	target_utilization
I.S. 117 - K	K117	0	13	K596			0	KNWLEDGE & PWR PREP VII MIDDLE - K	88	322	27
GEORGE WESTINGHOUSE VOC HS - K	K580	15	13	K605			0	GEORGE WESTINGHOUSE VOC. HS	702	936	75
I.S. 117 - K	K117	1	13	K616			0	BKLYN HS FOR LEADERSHIP & COMM - K	233	343	68
BENJAMIN BANNEKER ACADEMY - K	K914	12	13	K670			0	BENJAMIN BANNEKER ACAD. (HS LVL)-K	907	922	98
GEORGE WESTINGHOUSE VOC HS - K	K580	2	13	K674			0	CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY - K	451	482	94
P.S. 46 - K	K046	1	13	K691			0	FORT GREENE PREPARATORY ACADEMY - K	257	261	98
P.S. 256 - K	K256		13	K702				COMMUNITY PARTNERSHIP CHARTER SCHL - K	166	235	71
P.S. 270 - K	K270	6	13	K702	0		3	COMM. PARTNER CHARTER SCHOOL - K	248	298	83
BOYS HS (OLD) - K	K458		13	K710				BROWNSVILLE COLLEGIATE CHARTER SCHOOL - K	43	353	12
I.S. 265 - K	K265	6	13	K752	0		1	SUCCESS ACADEMY CHARTER SCHOOL - K 5	134	295	45
P.S. 753 (OLD P85/STERLING HS) - K	K085		13	K753	0		0	K753 SPED - K	175	229	76
P.S. 44 - K	K044	0	13	K757			0	UNITY PREP CHARTER SCHOOL	139	305	46
P.S. 9 - K	K009	1	13	K780	0		3	BROOKLYN EAST COLLEGIATE CHARTER SCHOOL - K	284	448	63
I.S. 258 - K	K258	0	13	K983			0	ALTERNATIVE LEARNING CENTER - K	0	157	0
I.S. 113 - K	K113		13	KADM				OFFICE OF EARLY CHILDHOOD - M			
BENJAMIN BANNEKER ACADEMY - K	K914		13	KSBH				MULTI-USE PROGRAM - K			
P.S. 67 - K	K067		13	KUFT				UFT USE - K			
BOYS HS (OLD) - K	K458		13	M984				LYFE			
BOYS HS (OLD) - K	K458		13	Q950				PATHWAYS TO GRADUATION - Q	298	272	110
P.S. 16 - K	K016	5	14	K016	18		2	P.S. 16 - K	249	603	41
P.S. 17 - K	K017	3	14	K017	35		3	P.S. 17 - K	334	405	82
P.S. 18 - K	K018	2	14	K018	18		2	P.S. 18 - K	197	265	74
P.S. 19 - K	K019	1	14	K019	0		1	P.S. 19 - K	113	264	43
P.S. 23 - K	K023	3	14	K023	36		3	P.S. 23 - K	276	509	54
P.S. 31 (OLD 126) - K	K031	5	14	K031	70		3	P.S. 31 - K	596	699	85
P.S. 34 - K	K034	1	14	K034	34		3	P.S. 34 - K	552	416	133
I.S. 71 - K	K071	0	14	K037	0		2	BEGINNING WITH CHILDREN CHARTER SCHOOL II	151	235	64
J.H.S. 50 - K	K050	10	14	K050			0	J.H.S. 50 - K	306	561	55
P.S. 59 - K	K059	1	14	K059	36		3	P.S. 59 - K	374	361	104
I.S. 71 - K	K071	9	14	K071			0	I.S. 71 - K	778	1077	72
P.S. 84 - K	K084	5	14	K084	72		3	P.S. 84 - K	616	1021	60
P.S. 110 - K	K110	7	14	K110	52		3	P.S. 110 - K	375	682	55
P.S. 120 - K	K120	2	14	K120	54		3	P.S. 120 - K	467	641	73
P.S. 59 - K	K059	4	14	K125	0		2	BROOKLYN SUCCESS ACADEMY CHARTER SCHOOL 2	238	228	104
J.H.S. 126 - K	K126	4	14	K126			0	J.H.S. 126 - K	265	499	53
P.S. 132 - K	K132	3	14	K132	72		4	P.S. 132 - K	775	618	125
I.S. 71 - K	K071		14	K141		*		K141 SPED - K	63	77	82
P.S. 380 - K	K380		14	K141	0		0	K141 SPED - K	141	165	85
P.S. 147 - K	K147	7	14	K147	54		3	P.S. 147 - K	313	466	67
P.S. 157 - K	K157	6	14	K157	18		3	P.S. 157 - K	558	841	66
J.H.S. 50 - K	K050	3	14	K182	0		2	BROOKLYN SUCCESS ACADEMY CHARTER SCHOOL 4	239	605	40
P.S. 196 - K	K196	3	14	K196	36		3	P.S. 196 - K	358	523	68
P.S. 250 - K	K250	6	14	K250	36		4	P.S. 250 - K	769	843	91
P.S. 257 - K	K257	5	14	K257	54		3	P.S. 257 - K	660	729	91
P.S. 297 - K	K297	2	14	K297	18		3	P.S. 297 - K	271	374	72
I.S. 318 - K	K318	12	14	K318			0	I.S. 318 - K	1632	1608	101
P.S. 319 - K	K319	0	14	K319	33		2	P.S. 319 - K	152	101	150
I.S. 33 - K	K033	5	14	K322			0	FOUNDATIONS ACADEMY - K	110	178	62
I.S. 33 - K	K033	8	14	K330			0	I.S. 330 - K	84	394	21
P.S. 16 - K	K016	0	14	K355			0	WILLIAMSBURG COLLEGIATE CHARTER  SCHOOL-K	485	352	138
I.S. 33 - K	K033	2	14	K367	0		3	BROOKLYN SUCCESS ACADEMY CHARTER SCHOOL 1 - K	399	301	133
I.S. 33 - K	K033		14	K368				K368 SPED - K	84	146	58
P.S. 120 - K	K120		14	K368	0		0	K368 SPED - K	88	89	99
P.S. 373 (OLD P148) - K	K148		14	K373	0		0	K373 SPED - K	308	266	116
P.S. 380 - K	K380	3	14	K380	36		3	P.S. 380 - K	664	669	99
P.S. 19 - K	K019	3	14	K414	0		3	P.S. 414 - K	334	275	121
I.S. 49 - K	K049	2	14	K449			0	BROOKLYN LATIN HS - K	592	654	91
I.S. 49 - K	K049	2	14	K454			0	GREEN SCHOOL HS - K	328	470	70
GRAND STREET CAMPUS (OLD E.D.HS)-K	K450	17	14	K474			0	PROGRESS HS - K	1083	1145	95
GRAND STREET CAMPUS (OLD E.D.HS)-K	K450	6	14	K477			0	HS OF LEGAL STUDIES - K	641	1046	61
GRAND STREET CAMPUS (OLD E.D.HS)-K	K450	5	14	K478			0	HS OF ENTERPRISE, BUS. & TECH. - K	1016	863	118
HARRY VANARSDALE VOC HS(WHITNEY)-K	K650	6	14	K488			0	BROOKLYN PREPARATORY HS - K	489	559	87
HARRY VANARSDALE VOC HS(WHITNEY)-K	K650	6	14	K558			0	WILLIAMSBURG HS FOR ARCH & DES-K	576	553	104
HARRY VANARSDALE VOC HS(WHITNEY)-K	K650	5	14	K561			0	WIILIAMSBURG PREP- K	671	688	98
P.S. 17 - K	K017	3	14	K577			0	I.S. 577 - K	498	330	151
P.S. 196 - K	K196	4	14	K582			0	I.S. 582 - K	272	485	56
I.S. 49 - K	K049	7	14	K586			0	LYONS COMMUNITY SCHOOL - K	546	623	88
AUTOMOTIVE TRADES VOC HS - K	K610	20	14	K610			0	AUTOMOTIVE TRADES VOC HS - K	420	889	47
P.S. 147 - K	K147	5	14	K614			0	YOUNG WOMEN'S LEADERSHIP SCHOOL -  BROOKLYN	351	676	52
AUTOMOTIVE TRADES VOC HS - K	K610	1	14	K632			0	FRANCES PERKINS ACAD - K	157	212	74
EL PUENTE HS - K	K778	4	14	K685			0	EL PUENTE ACADEMY - K	225	234	96
J.H.S. 126 - K	K126	1	14	K689	0		1	CITIZENS OF THE WORLD CHARTER SCHOOL 1	84	305	28
J.H.S. 126 - K	K126	0	14	K693			0	BELIEVE NORTHSIDE CHARTER HIGH SCHOOL1 - K	384	399	96
P.S. 23 - K	K023	2	14	K701	0		3	BROOKLYN CHARTER SCHOOL - K	261	236	111
P.S. 373 (OLD P148) - K	K148		14	K703				BEGINNING WITH CHLDREN CHARTER-K	138	240	58
P.S. 297 - K	K297	3	14	K734	0		3	THE ETHICAL COMMUNITY CHARTER SCHOOL - K	263	310	85
P.S. 157 - K	K157		14	K755				ADULT AND CONTINUING EDUCATION			
I.S. 71 - K	K071		14	KADM				DISTRICT OFFICE #14 - K			
GRAND STREET CAMPUS (OLD E.D.HS)-K	K450		14	KCBO				BEACON PROGRAM - K			
HARRY VANARSDALE VOC HS(WHITNEY)-K	K650		14	KCBO				DUANE READE, CAMELOT COUNSELING			
P.S. 120 - K	K120		14	KCEP				OFFICE OF CONT. EDUC. - K			
GRAND STREET CAMPUS (OLD E.D.HS)-K	K450		14	KSBH				WOODHULL HOSPITAL - K			
I.S. 49 - K	K049		14	KSFS				FOOD SERVICES - K			
GRAND STREET CAMPUS (OLD E.D.HS)-K	K450		14	KSST				OFFICE OF SCHOOL SAFETY - K			
HARRY VANARSDALE VOC HS(WHITNEY)-K	K650		14	KUFT				333			
GRAND STREET CAMPUS (OLD E.D.HS)-K	K450		14	M984				LYFE			
P.S. 1 - K	K001	2	15	K001	142		5	P.S. 1 - K	1033	802	129
P.S. 1 ANNEX - K	K812		15	K001				P.S. 1 - K	107	91	118
P.S. 1 MINISCHOOL - K	K881		15	K001				P.S. 1 - K	137	119	115
P.S. 10 - K	K010	5	15	K010	0		4	P.S. 10 - K	921	768	120
P.S. 15 - K	K015	3	15	K015	46		3	P.S. 15 - K	392	452	87
P.S. 24 - K	K024	6	15	K024	18		3	P.S. 24 - K	699	742	94
P.S. 29 - K	K029	5	15	K029	70		4	P.S. 29 - K	803	733	110
P.S. 32 - K**	K032	3	15	K032	32		6	P.S. 32 - K	198	381	111
P.S. 32 TRANSPORTABLE - K	K979		15	K032				P.S. 32 - K	226		
P.S. 38 - K	K038	5	15	K038	72		3	P.S. 38 - K	504	624	81
P.S. 39 - K	K039	2	15	K039	30		3	P.S. 39 - K	367	286	128
P.S. 39 ANNEX (GYM) - K	K830		15	K039				P.S. 39 - K	0	0	
I.S. 51 - K	K051	13	15	K051			0	I.S. 51 - K	1116	1000	112
I.S. 88 - K	K088		15	K053		*		K053 SPED - K	86	103	83
P.S. 58 - K	K058	2	15	K058	54		4	P.S. 58 - K	944	757	125
BKLYN COLL ACAD (BRIDGES TO K)-K	K917		15	K077		"#"		K077 SPED - K	25	0	0
I.S. 88 - K	K088	8	15	K088			0	I.S. 88 - K	1206	1326	91
P.S. 94 - K	K094	4	15	K094	18		5	P.S. 94 - K	1519	1102	138
P.S. 107 - K	K107	0	15	K107	0		3	P.S. 107 - K	578	369	157
P.S. 118 MAURICE SENDAK COMMUNITY SCHOOL - K	K763	1	15	K118	30		1	THE MAURICE SENDAK COMMUNITY SCHOOL	82	423	19
P.S. 124 - K	K124	2	15	K124	32		3	P.S. 124 - K	321	297	108
J.H.S. 293 - K	K293	0	15	K129	0		2	BROOKLYN SUCCESS ACADEMY CHARTER SCHOOL 3	235	183	128
P.S. 130 - K	K130	2	15	K130	54		3	P.S. 130 - K	698	504	138
P.S. 131 - K	K131	2	15	K131	106		4	P.S. 131 - K	1117	803	139
I.S. 136 - K	K136	6	15	K136			0	I.S. 136 - K	487	586	83
I.S. 136 TEMP. C.R. BLDG - K	K939		15	K136				I.S. 136 - TRANSPORTABLE	0	0	
J.H.S. 142 - K	K142	3	15	K146	36		3	P.S. 146 - K	664	501	133
P.S. 154 - K	K154	2	15	K154	18		3	P.S. 154 - K	546	398	137
P.S. 169 - K	K169	1	15	K169	0		5	P.S. 169 - K	1636	1146	143
P.S. 172 - K	K172	1	15	K172	52		3	P.S. 172 - K	612	419	146
P.S. 230 - K	K230	4	15	K230	116		5	P.S. 230 - K	810	718	113
P.S. 230 ANNEX - K	K908		15	K230				P.S. 230 - K	545	475	115
P.S. 261 - K**	K261	3	15	K261	32		8	P.S. 261 - K	781	744	110
P.S. 261 TRANSPORTABLE - K	K982		15	K261				P.S. 261 - K	36		
P.S. 295 - K	K845	4	15	K295	54		3	P.S. 295 - K	509	431	118
P.S. 321 - K	K321	3	15	K321	0		5	P.S. 321 - K	1183	898	132
P.S. 321 MINISCHOOL - K	K896		15	K321				P.S. 321 - K	297	237	125
J.H.S. 293 - K	K293		15	K368				K368 SPED - K	29	23	126
P.S. 261 - K**	K261		15	K369		"#"		K369 SPED - K	12	0	0
P.S. 369 (COY COX SCHOOL) - K	K369		15	K369	0		0	K369 SPED - K	152	159	96
P.S. 371 (OLD 615) - K	K371		15	K371	0		0	K371 SPED - K	167	257	65
SUNSET PARK HS - K	K564		15	K371		*		K371 SPED - K	77	86	90
P.S. 372 (OUR LADY OF PEACE)-K	K834		15	K372	0		0	K372 SPED - K	145	264	55
COBBLE HILL SCL OF AMR STD (OL6)-K	K804		15	K373		"#"		K373 SPED - K	12	0	0
P.S. 372 (OUR LADY OF PEACE)-K	K834	1	15	K418	0		3	P.S. 418 - K	333	291	114
PACIFIC ALT HS - K	K520	4	15	K423			0	BROOKLYN FRONTIERS HIGH SCHOOL - K	169	300	56
J.H.S. 293 - K	K293	7	15	K429			0	BKLYN SCL FOR GLBL STUD - K	275	516	53
P.S. 32 - K**	K032	0	15	K442			0	I.S. 442 - K	193	370	52
P.S. 295 - K	K845	3	15	K443			0	I.S. 443 - K	531	499	106
BKLYN HS OF THE ARTS (OL S J HL)-K	K655	13	15	K447			0	I.S. 447 - K	514	720	71
J.H.S. 142 - K	K142	6	15	K448			0	I.S. 448 -BROOKLYN	670	720	93
JOHN JAY HS - K	K460	7	15	K462			0	SECONDARY SCHOOL FOR LAW - K	389	627	62
JOHN JAY HS - K	K460	3	15	K463			0	SECONDARY SCHOOL FOR JOURNALISM-K	271	633	43
JOHN JAY HS - K	K460	5	15	K464			0	PARK SLOPE COLLEGIATE - K	379	589	64
J.H.S. 293 - K	K293	3	15	K497			0	SCHOOL FOR INT'L STUD - K	479	761	63
I.S. 136 - K	K136		15	K516				SUNSET PARK AVENUES ELEMENTARY SCHOOL	0	0	
I.S. 136 TEMP. C.R. BLDG - K	K939	0	15	K516	0		1	SUNSET PARK AVENUES ELEMENTARY SCHOOL	74	32	231
COBBLE HILL SCL OF AMR STD (OL6)-K	K804	9	15	K519			0	COBBLE  HILL SCHL OF AMER. STUD-K	571	834	68
WEST BROOKLYN COMMUNITY HS - K	K781	2	15	K529			0	WEST BROOKLYN COMMUNITY HS - K	215	297	72
METROPOLITAN CORPORATE ACAD. - K	K806	2	15	K530			0	METROPOLITAN CORP. ACADEMY	31	156	20
BKLYN COLL ACAD (BRIDGES TO K)-K	K917	5	15	K555			0	BROOKLYN COLLEGE ACADEMY - K	312	489	64
METROPOLITAN CORPORATE ACAD. - K	K806	1	15	K592			0	I.S. 592 - K	97	154	63
BKLYN HS OF THE ARTS (OL S J HL)-K	K655	13	15	K656			0	BROOKLYN HS OF THE ARTS - K	815	1100	74
BKLYN HS OF THE ARTS AX (S J HL)-K	K656		15	K656				BROOKLYN HS OF THE ARTS - K	0	0	
SUNSET PARK HS - K	K564	19	15	K667			0	SUNSET PARK HS - K	1309	1262	104
P.S. 27 - K	K027	4	15	K676	35		2	RED HOOK NEIGHBORHOOD SCHOOL  - K	223	443	50
JOHN JAY HS - K	K460	0	15	K684			0	MILLENIUM BROOKLYN HIGH SCHOOL - K	387	334	116
SOUTH BROOKLYN COMM. HS - K	K825	2	15	K698			0	SOUTH BROOKLYN COMM. HS - K	163	253	64
P.S. 27 - K	K027	1	15	K730			0	SUMMIT ACADEMY CHARTER SCHOOL - K	289	509	57
METROPOLITAN CORPORATE ACAD. - K	K806		15	K753				K753 SPED - K	33	32	103
I.S. 136 - K	K136	8	15	K821			0	I.S. 821 - K	528	589	90
I.S. 136 TEMP. C.R. BLDG - K	K939		15	K821				I.S. 821 - K	0	0	
JOHN JAY HS - K	K460	0	15	K987			0	ALTERNATIVE LEARNING CENTER - K	0	112	0
P.S. 1 - K	K001		15	KCBO				CENTER OF FAMILY LIFE - K			
P.S. 15 - K	K015		15	KCBO				GOOD SHEPARD - K			
P.S. 38 - K	K038		15	KCBO				VIRTUAL Y - K			
P.S. 230 - K	K230		15	KCEP				ADULT ESL - K			
P.S. 1 - K	K001		15	KSBH				LUTHERAN MEDICAL CENTER - K			
P.S. 10 - K	K010		15	KSBH				LUTHERAN MEDICAL - K			
P.S. 15 - K	K015		15	KSBH				LUTHERAN MEDICAL CENTER - K			
I.S. 51 - K	K051		15	KSBH				L.I. COLLEGE HEALTH CTR - K			
J.H.S. 142 - K	K142		15	KSBH				L.I.C. HOSPITAL - K			
P.S. 230 - K	K230		15	KSFS				FOOD SERVICES - K			
COMM SCHL COMP ED (PRG GIRLS) - K	K871		15	Q950				PATHWAYS TO GRADUATION - Q	149	181	82
P.S. 81 - K	K081		16	K004	0	*	0	K004 SPED - K	141	196	72
P.S. 5 - K	K005	5	16	K005	18		3	P.S. 5 - K	312	604	52
P.S. 21 - K	K021	3	16	K021	36		3	P.S. 21 - K	648	713	91
P.S. 25 - K	K025	4	16	K025	36		2	P.S. 25 - K	235	480	49
P.S. 26 - K	K026	4	16	K026	18		3	P.S. 26 - K	254	459	55
P.S. 28 - K	K028	3	16	K028	18		2	P.S. 28 - K	240	292	82
I.S. 35 - K	K035	1	16	K035			0	I.S. 35 - K	206	508	41
P.S. 40 - K	K040	4	16	K040	36		3	P.S. 40 - K	337	572	59
J.H.S. 57 - K	K057	3	16	K057			0	J.H.S. 57 - K	213	365	58
P.S. 81 - K	K081	3	16	K081	36		3	P.S. 81 - K	383	679	56
P.S. 21 - K	K021		16	K140		"#"		K140 SPED - K	12	0	0
P.S. 304 - K	K304		16	K140				K140 SPED - K	56	65	86
I.S. 35 - K	K035		16	K141				K141 SPED - K	122	151	81
P.S. 243 - K	K243	4	16	K243	36		3	P.S. 243 - K	286	529	54
P.S. 262 - K	K262	5	16	K262	36		3	P.S. 262 - K	504	751	67
I.S. 324 - K	K324	4	16	K267			0	I.S. 267 - K	289	756	38
P.S. 308 - K	K308	2	16	K308	18		3	P.S. 308 - K	461	821	56
P.S. 309 - K	K309	3	16	K309	18		3	P.S. 309 - K	288	400	72
P.S. 335 - K	K335	6	16	K335	18		3	P.S. 335 - K	375	506	74
P.S. 243 - K	K243	1	16	K360			0	LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL	215	372	58
P.S. 5 - K	K005		16	K369				K369 SPED - K	100	108	93
J.H.S. 57 - K	K057	4	16	K385			0	I.S. 385 - K	113	432	26
P.S. 26 - K	K026	2	16	K393			0	I.S. 393 - K	155	352	44
P.S. 308 - K	K308	0	16	K406	0		3	TEACHING FIRMS OF AMERICA CHARTER SCHOOL - Q	272	220	124
BOYS & GIRLS HS - K	K455	32	16	K455			0	BOYS & GIRLS HS - K	939	3013	31
ACORN SCHOOL FOR SOCIAL JUSTICE-K	K987	7	16	K498			0	ACORN SCHOOL FOR SOCIAL JUSTICE-K	518	663	78
P.S. 25 - K	K025	3	16	K534			0	I.S. 534 - K	151	344	44
P.S. 335 - K	K335	4	16	K584			0	I.S. 584 - K	128	323	40
P.S. 40 - K	K040	2	16	K594			0	GOTHAM PROFESSIONAL ARTS ACAD - K	242	319	76
P.S. 304 - K	K304	3	16	K627	18		1	BRIGHTER CHOICE COMMUN SCHL - K	149	373	40
I.S. 35 - K	K035	1	16	K628	0		2	BKLYN BROWNSTONE SCL - K	222	251	88
P.S. 304 - K	K304	1	16	K636	18		2	YOUNG SCHOLAR'S ACADEMY - K	188	258	73
I.S. 324 - K	K324	1	16	K648	0		3	COLLEGIATE CHTR SCHOOL - K	360	448	80
I.S. 324 - K	K324	3	16	K649	0		3	LA CIMA CHARTER SCL - K	376	380	99
BOYS & GIRLS HS - K	K455	10	16	K669			0	RESEARCH AND SERVICE HS	140	221	63
P.S. 26 - K	K026	2	16	K681			0	I.S. 681 - K	165	257	64
J.H.S. 57 - K	K057	3	16	K688			0	BROOKLYN ACADEMY OF GLOBAL FINANCE - K	148	270	55
P.S. 309 - K	K309	1	16	K712	0		3	EXCELLENCE CHARTER SCHOOL FOR GIRLS	420	286	147
P.S. 26 - K	K026		16	KADM				DISTRICT 16 - K			
P.S. 25 - K	K025		16	KCBO				PARTNERSHIP WITH CHILDREN - K			
I.S. 35 - K	K035		16	KCBO				ST. CHRISTOPHER BEACON - K			
P.S. 25 - K	K025		16	KOTH				NYC DEPT. OF HEALTH - K			
P.S. 335 - K	K335		16	KSFS				FOOD SERVICES - K			
P.S. 25 - K	K025		16	KUFT				UFT USE - K			
P.S. 335 - K	K335		16	KUFT				UFT USE - K			
I.S. 2 - K	K002	3	17	K002			0	I.S. 2 - K	479	616	78
P.S. 6 - K	K006	3	17	K006	0		3	P.S. 6 - K	714	634	113
P.S. 22 - K	K022	1	17	K022	0		1	P.S. 22 - K	24	84	29
GEORGE W. WINGATE HS - K	K470		17	K036		"#"		K036 SPED - K	14	0	0
P.S. 369 AX-(OL 396X/FLTB TN HL)-K	K877		17	K036				K036 SPED - K	24	40	60
I.S. 61 - K	K061	7	17	K061			0	I.S. 61 - K	777	1375	57
P.S. 91 - K	K091	6	17	K091	17		3	P.S. 91 - K	362	714	51
P.S. 91 MINISCHOOL - K	K891		17	K091				P.S. 91 - K	121	148	82
P.S. 92 - K	K092	3	17	K092	36		3	P.S. 92 - K	493	458	108
ROBESON HS COMP&BUS TC (A HML)-K	K625	5	17	K122			0	PATHWAYS IN TECHNOLOGY EARLY COLLEGE HS - K	330	511	65
P.S. 138 - K	K138	9	17	K138	38		3	P.S. 138 - K	708	1069	66
I.S. 2 - K	K002		17	K141				K141 SPED - K	71	105	68
P.S. 161 - K	K161	6	17	K161	0		3	P.S. 161 - K	537	937	57
P.S. 167 - K	K167	4	17	K167	0		2	P.S. 167 - K	168	223	75
P.S. 181 - K	K181	5	17	K181	36		4	P.S. 181 - K	1044	1358	77
P.S. 189 - K	K189	6	17	K189	0		4	P.S. 189 - K	991	985	101
P.S. 189 MINISCHOOL - K	K889		17	K189				P.S. 189 - K	197	123	160
P.S. 191 - K	K191	4	17	K191	18		2	P.S. 191 - K	223	477	47
P.S. 221 - K	K221	4	17	K221	36		3	P.S. 221 - K	307	431	71
P.S. 221 MINISCHOOL - K	K892		17	K221				P.S. 221 - K	143	228	63
P.S. 241 - K	K241	4	17	K241	35		3	P.S. 241 - K	503	625	80
P.S. 241 MINISCHOOL - K	K840		17	K241				P.S. 241 - K	154	110	140
I.S. 246 - K	K246	9	17	K246			0	I.S. 246 - K	603	1103	55
P.S. 249 - K	K249	1	17	K249	36		4	P.S. 249 - K	907	711	128
P.S. 289 - K	K289	4	17	K289	36		3	P.S. 289 - K	515	800	64
P.S. 316 - K	K316	5	17	K316	36		3	P.S. 316 - K	308	576	53
P.S. 22 - K	K022	1	17	K333	0		3	EXPLORE EXCEED CHARTER SCHOOL	303	142	213
I.S. 390 - K	K390	3	17	K334			0	M.S. 334 - K	168	436	39
P.S. 375 - K	K320	15	17	K352			0	M.S. 352 - K	298	676	44
P.S. 316 - K	K316	2	17	K353			0	M.S. 353 - K	263	369	71
I.S. 390 - K	K390	6	17	K354			0	M.S. 354 - K	240	511	47
I.S. 391 - K	K391	2	17	K356	0		4	ACHIEV FIRST CROWN HGHTS CHARTER-K	943	884	107
I.S. 390 - K	K390	5	17	K357	0		3	KIPP AMP CHARTER SCHOOL - K	555	511	109
P.S. 375 - K	K320	2	17	K375	36		3	P.S. 375 - K	514	540	95
ERASMUS HALL CAMPUS - K	K465	2	17	K382			0	I.S. 382 - K	532	700	76
I.S. 394 - K	K210	7	17	K394	71		3	I.S. 394 - K	631	782	81
P.S. 289 - K	K289		17	K396		*		K396 SPED - K	33	32	103
P.S. 397 - K	K397	2	17	K397	0		3	P.S. 397 - K	345	245	141
P.S. 398 (UDC) - K	K398	3	17	K398	51		3	P.S. 398 - K	383	547	70
P.S. 399 - K	K399	2	17	K399	0		3	P.S. 399 - K	504	282	179
ERASMUS HALL CAMPUS - K	K465	5	17	K408			0	ACAD. OF HOSP. & TOURISM - K	303	357	85
W.E.B. DUBOIS HS - K	K824	4	17	K489			0	W.E.B.  DUBOIS HS - K	131	285	46
ACORN COMMUNITY HS - K	K909	6	17	K499			0	ACORN COMMUNITY HS - K	623	692	90
PROSPECT HEIGHTS HS - K	K440	4	17	K524			0	THE INTERNATIONAL HS - K	421	528	80
PROSPECT HEIGHTS HS - K	K440	6	17	K528			0	HS FOR GLOBAL CITIZENSHIP - K	256	457	56
GEORGE W. WINGATE HS - K	K470	4	17	K531			0	I.S. 531 - K	410	543	76
P.S. 167 - K	K167	3	17	K532	35		2	NEW BRIDGES*	245	285	86
GEORGE W. WINGATE HS - K	K470	3	17	K533			0	I.S. 533 - K	330	657	50
ERASMUS HALL CAMPUS - K	K465	2	17	K537			0	HS FOR YOUTH & COMMUNITY DEV. - K	347	494	70
ERASMUS HALL CAMPUS - K	K465	5	17	K539			0	HS FOR SERVICE AND LEARNING - K	434	455	95
ERASMUS HALL CAMPUS - K	K465	12	17	K543			0	SCIENCE TECH & RESEARCH - K	532	687	77
GEORGE W. WINGATE HS - K	K470	6	17	K544			0	INTERNATIONAL ARTS BUSINESS HS - K	92	420	22
GEORGE W. WINGATE HS - K	K470	2	17	K546			0	HS FOR PUBLIC SERVICE - K	439	602	73
PROSPECT HEIGHTS HS - K	K440	7	17	K547			0	BROOKLYN HS FOR SCI & THE ENVI-K	477	562	85
PROSPECT HEIGHTS HS - K	K440	1	17	K548			0	BROOKLYN HS FOR MUSIC &THEATER - K	399	556	72
BROWNSVILLE DIPLOMA PLUS HS - K	K907	8	17	K568			0	BROWNSVILLE DIPLOMA PLUS HS - K	203	664	31
I.S. 391 - K	K391	5	17	K587			0	I.S. 587 - K	93	333	28
MIDDLE COLLEGE HS - K	K590	18	17	K590			0	MIDDLE COLLEGE HS - K	1248	727	172
MIDDLE COLLEGE HS - K	K880		17	K590				MIDDLE COLLEGE HS - K	0	0	
CLARA BARTON HS - K	K600	19	17	K600			0	CLARA BARTON HS - K	1525	1617	94
ROBESON HS COMP&BUS TC (A HML)-K	K625	5	17	K625			0	ROBESON HS BUS & TECH - K	42	244	17
P.S. 221 - K	K221	3	17	K692	0		1	CITIZENS OF THE WORLD CHARTER SCHOOL 2	136	234	58
I.S. 2 - K	K002	0	17	K704	0		3	EXPLORE CHARTER SCHOOL - K	525	460	114
P.S. 22 - K	K022	4	17	K705	36		3	P.S. 705 - K	268	321	83
P.S. 191 - K	K191		17	K712				EXCELLENCE CHARTER SCHOOL FOR GIRLS	83	149	56
I.S. 391 - K	K391	0	17	K722			0	I.S. 722 - K	233	324	72
I.S. 246 - K	K246	0	17	K726	0		3	FAHARI ACADEMY CHARTER SCHOOL - K	414	361	115
P.S. 167 - K	K167	3	17	K741	0		1	SUCCESS ACADEMY CHARTER SCHOOL - K 7	148	145	102
I.S. 394 - K	K210	3	17	K742	0		3	EXPLORE EMPOWER CHARTER SCHL - K	412	300	137
GEORGE W. WINGATE HS - K	K470	0	17	K745			0	H.S. 745 - K	170	111	153
ROBESON HS COMP&BUS TC (A HML)-K	K625	1	17	K751			0	ACADEMY OF HEALTH CAREERS - K	314	406	77
CLARA BARTON HS - K	K600		17	K753		"#"		K753 SPED - K	10	0	0
P.S. 138 - K	K138	2	17	K756	0		2	SUCCESS ACADEMY CHARTER SCHOOL - K 6	195	155	126
P.S. 398 (UDC) - K	K398	0	17	K770	36		3	P.S. 770 - K	253	652	39
P.S. 92 - K	K092	1	17	K796	0		3	LEFFERTS GARDEN CHARTER SCHOOL - K	386	265	146
W.E.B. DUBOIS HS - K	K824	0	17	K981			0	ALTERNATIVE LEARNING CENTER - K	0	24	0
P.S. 138 AX (CROWN HGTS ECC 1)-K	K867	0	17	K981			0	ALTERNATIVE LEARNING CENTER - K	0	150	0
I.S. 246 - K	K246	0	17	K993			0	ALTERNATIVE LEARNING CENTER - K	0	0	
I.S. 390 - K	K390		17	KADM				DISTRICT OFFICE # 17 - K			
P.S. 138 - K	K138		17	KCBO				BEACON PROGRAM - K			
BROWNSVILLE DIPLOMA PLUS HS - K	K907		17	KCBO				LTW - K			
I.S. 394 - K	K210		17	KSFS				FOOD SERVICES - K			
CLARA BARTON HS - K	K600		17	KUFT				UFT USE - K			
W.E.B. DUBOIS HS - K	K824		17	M973				RESTART - M	15	87	17
PROSPECT HEIGHTS HS - K	K440		17	M984				LYFE			
